No.,Vaccine,Developed by,Country,Year,,,,,,,,,,,,,,,,,
1,Small Pox,Edward Jenner,England,1796,,,,,,,,,,,,,,,,,
2,Cholera,Louis Pasteur,France,1880,,,,,,,,,,,,,,,,,
3,Diphtheria and Tetanus,Emil Adolf Von Behring and Shibasaburo Kitasato,Germany/Japan,1891,,,,,,,,,,,,,,,,,
4,Rubella virus,rubella and CRS,Germany,1740,,,,,,,,,,,,,,,,,
5,TB Vaccine,Albert Calmette and Camille Guerin,France,1922,,,,,,,,,,,,,,,,,
6,Polio Vaccine,Jones E. Salk,US,1952,,,,,,,,,,,,,,,,,
7,Rotavirus,Rotarix by GlaxoSmithKline,N/A,2009,,,,,,,,,,,,,,,,,
8,Oral Polio Vaccine,Albert Bruce Sabin,US,1955,,,,,,,,,,,,,,,,,
9,Measles Vaccine,"John F. Enders, Thomas peeble",US,1953,,,,,,,,,,,,,,,,,
10,Rabies Vaccine,Louis Pasteur,France,1885,,,,,,,,,,,,,,,,,
11,Typhus Vaccine,Charles Nicolle,France,1909,,,,,,,,,,,,,,,,,
12,Pneumococcal Pneumonia,William Osler,US,1977,,,,,,,,,,,,,,,,,
13,Typhoid Fever,Almroth Edward Wright,N/A,1880,,,,,,,,,,,,,,,,,
14,Meningococcal meningitis,Vieusseux,N/A,1806,,,,,,,,,,,,,,,,,
15,Tuberculosis,Albert Calmette and Camille Guerin,N/A,1906,,,,,,,,,,,,,,,,,
16,"Epiglottitis, meningitis, pneumonia",David Smith,N/A,N/A,,,,,,,,,,,,,,,,,
17,Q Fever,H.R. Cox and Gordon Davis,USA,1937,,,,,,,,,,,,,,,,,
18,Whooping Cough,Jules Bordet and Octave Gengou,France,100<,,,,,,,,,,,,,,,,,
19,Anthrax,Louis Pasteur,France,1881,,,,,,,,,,,,,,,,,
20,Leprosy,Guy Henry Faget,Sweden,1873,,,,,,,,,,,,,,,,,
21,Hepatitis A,Steven M. Feinstone,US,1973,,,,,,,,,,,,,,,,,
22,Hepatitis B,Dr. Blumberg won,US,1969,,,,,,,,,,,,,,,,,
23,Hepatitis E,N/A,Inidia,1978,,,,,,,,,,,,,,,,,
24,"Cervical cancer, Genital warts, anogenital cancers",Ian Frazer,US,2006,,,,,,,,,,,,,,,,,
25,Influenza,Jonas Salk & Thomas Francis,US,1933,,,,,,,,,,,,,,,,,Country
26,Mumps,Maurice Hilleman,N/A,1969,,,,,,,,,,,,,,,,,
27,Poliomyelitis,Dr. Jonas Salk,US,1952,,,,,,,,,,,,,,,,,
28,"Chicken pox, Shingles",Michiaki Takahashi,N/A,1972,,,,,,,,,,,,,,,,,
29,Yellow Fever,Max Theiler,USA,1930,,,,,,,,,,,,,,,,,
